function,n_constraints,n_violated_on_failing,n_over_approximate,n_pruned_by_cf,pct_violated
combine_responses,8,2,0,0,25.0
combine_scores,9,2,0,0,22.2
confidence_trendline,8,2,0,0,25.0
config_interpolate,8,2,0,0,25.0
cost_trendline,7,2,0,0,28.6
coupons_apportion,7,1,1,0,14.3
coverage_interp,7,2,1,0,28.6
cpu_allocator,7,1,1,0,14.3
credits_allocator,8,1,1,0,12.5
dataloader_shard_merge,8,1,0,0,12.5
demand_curve,7,2,1,0,28.6
demand_forecast_curve,7,2,0,0,28.6
demands_union,7,1,0,0,14.3
divide_coupon,7,0,0,0,0.0
divide_refund,7,3,1,0,42.9
donation_share,8,3,1,0,37.5
download_rate,7,1,0,0,14.3
downtime_booking,9,1,1,0,11.1
draft_cache,7,2,1,0,28.6
email_send_quota,8,1,1,0,12.5
embedding_lookup_cache,7,3,3,0,42.9
energy_window_avg,7,1,1,0,14.3
error_meter,7,2,2,0,28.6
estimate_reliability,7,2,2,0,28.6
estimate_supply,8,2,0,0,25.0
estimate_temperature,7,1,0,0,14.3
event_gate,8,1,1,0,12.5
feature_cache,8,1,0,0,12.5
feature_flag_rollout,8,1,1,0,12.5
fee_splitter,7,0,0,0,0.0
file_chunk_stitch,8,2,0,0,25.0
fuel_moving_mean,7,1,1,0,14.3
gpu_memory_pool,8,1,0,0,12.5
grades_union,8,1,0,0,12.5
grant_share,7,2,0,0,28.6
growth_trendline,7,2,0,0,28.6
guard_email,7,2,0,0,28.6
guard_search,7,1,1,0,14.3
guard_write,8,2,1,0,25.0
heartbeat_throttle,8,1,1,0,12.5
histogram_bucket_merge,7,3,0,0,42.9
ids_merge,8,2,0,0,25.0
inspection_booking,8,2,1,0,25.0
invoice_merge_stream,7,2,0,0,28.6
invoice_meter,8,0,0,0,0.0
job_queue_priority,8,1,0,0,12.5
latencies_merge,8,2,0,0,25.0
latency_rolling_avg,7,1,1,0,14.3
ledger_balance_rollup,8,1,0,0,12.5
limit_api,8,2,2,0,25.0
limit_job,8,1,0,0,12.5
limit_message,8,1,0,0,12.5
limit_ping,7,2,2,0,28.6
limit_query,3,1,1,0,33.3
limit_sensor,7,2,2,0,28.6
load_mix,7,1,0,0,14.3
login_tally,8,1,1,0,12.5
login_throttle,8,1,0,0,12.5
lr_warmup_schedule,7,1,1,0,14.3
lru_evictor,7,2,0,0,28.6
machine_booking,8,1,1,0,12.5
maintenance_booking,8,0,0,0,0.0
memory_moving_mean,7,1,1,0,14.3
message_counter,7,2,1,0,28.6
metric_rolling_avg,7,1,1,0,14.3
model_confidence_clamp,8,2,0,0,25.0
notification_gate,7,1,1,0,14.3
offer_expiry,9,1,1,0,11.1
optimizer_step_guard,8,2,1,0,25.0
packets_window_avg,7,0,0,0,0.0
pages_union,8,2,0,0,25.0
payment_payout,8,3,1,0,37.5
payment_split_rebate,8,2,0,0,25.0
plan_appointment_slot,8,1,1,0,12.5
plan_conference_slot,7,1,1,0,14.3
plan_delivery_slot,8,2,2,0,25.0
plan_jobs_share,6,0,0,0,0.0
plan_memo,7,2,0,0,28.6
plan_points_share,7,3,3,0,42.9
plan_seats_share,7,0,0,0,0.0
plan_tickets_share,7,2,2,0,28.6
plan_upgrade_slot,8,0,0,0,0.0
prediction_cache,9,1,1,0,11.1
price_cache,7,1,0,0,14.3
prices_stream,6,1,0,0,16.7
priority_mix,8,0,0,0,0.0
probability_curve,8,1,0,0,12.5
probability_rebalance,7,1,0,0,14.3
profile_expiry,7,2,2,0,28.6
queue_window_avg,7,2,2,0,28.6
quota_allocator_service,7,1,1,0,14.3
quota_for_fuel,7,0,0,0,0.0
quota_for_inventory,8,0,0,0,0.0
quota_for_memory,8,0,0,0,0.0
quota_for_storage,7,1,1,0,14.3
quote_memo,8,3,3,0,37.5
rating_curve,8,2,0,0,25.0
read_throttle,8,2,0,0,25.0
realign_cache,8,4,2,0,50.0
realign_power,7,2,1,0,28.6
rebate_splitter,8,3,1,0,37.5
replica_sync_offsets,7,1,0,0,14.3
request_token_bucket,8,1,0,0,12.5
reservation_booking,4,2,2,0,50.0
reservation_overlap_check,7,1,1,0,14.3
reserve_band,8,2,2,0,25.0
reserve_lane,9,2,2,0,22.2
reserve_slot,8,1,1,0,12.5
retry_backoff_window,8,2,0,0,25.0
retry_tally,7,1,0,0,14.3
rolling_errors,6,1,1,0,16.7
rolling_requests,9,2,0,0,22.2
rolling_retries,7,1,1,0,14.3
rolling_usage,8,0,0,0,0.0
room_reservation,8,2,2,0,25.0
royalty_payout,8,1,1,0,12.5
sales_window_avg,7,1,1,0,14.3
schedule_car,8,1,0,0,12.5
schedule_demo,7,2,2,0,28.6
schedule_pickup,8,1,0,0,12.5
schedule_shift_allocator,8,1,0,0,12.5
schedule_training,9,1,1,0,11.1
schedule_window,7,1,0,0,14.3
scores_apportion,8,2,2,0,25.0
search_result_pager,8,2,1,0,25.0
sensor_window_avg,7,1,1,0,14.3
shard_assignment,7,0,0,0,0.0
shares_apportion,8,1,0,0,12.5
shift_demand,7,1,0,0,14.3
shift_feature,8,1,0,0,12.5
shift_risk,8,1,0,0,12.5
shift_traffic,8,2,0,0,25.0
shift_weight,7,3,2,0,42.9
signals_stream,7,2,0,0,28.6
smooth_clicks,7,0,0,0,0.0
smooth_pressure,7,1,0,0,14.3
speed_trendline,7,2,0,0,28.6
storage_quota_split,7,1,0,0,14.3
subsidy_payout,7,2,0,0,28.6
summary_memo,7,2,2,0,28.6
task_tally,8,0,0,0,0.0
tasks_allocator,7,1,0,0,14.3
temperature_window_avg,7,1,1,0,14.3
tensor_slice_pad,7,1,0,0,14.3
throughput_trendline,7,2,0,0,28.6
timestamps_stream,8,4,0,0,50.0
tip_share,7,2,0,0,28.6
token_cache,7,1,1,0,14.3
token_expiry_check,8,1,1,0,12.5
track_build,8,1,1,0,12.5
track_delivery,7,1,1,0,14.3
track_deployment,8,1,1,0,12.5
track_logout,7,2,2,0,28.6
ttl_snapshot_store,7,1,0,0,14.3
txn_dedup_merge,8,3,0,0,37.5
upload_gate,9,1,1,0,11.1
versions_stream,7,1,0,0,14.3
views_moving_mean,7,2,0,0,28.6
volume_moving_mean,7,1,1,0,14.3
votes_apportion,7,1,1,0,14.3
warm_cache_loader,8,1,1,0,12.5
warning_meter,6,1,0,0,16.7
water_allocator,8,2,1,0,25.0
weights_union,7,2,0,0,28.6
