function,pct_suspicious_before_cf,pct_suspicious_after_cf,improvement_pp,primary_constraint,cf_available
demand_forecast_curve,3.6,1.8,1.8,C2,True
demands_union,15.4,15.4,0.0,N/A,True
divide_coupon,5.7,1.9,3.8,C4,True
divide_refund,10.4,10.4,0.0,N/A,True
donation_share,11.1,11.1,0.0,N/A,True
download_rate,8.6,8.6,0.0,C1,True
downtime_booking,3.7,3.7,0.0,N/A,True
draft_cache,2.0,2.0,0.0,C3,True
email_send_quota,3.8,3.8,0.0,N/A,True
embedding_lookup_cache,8.9,8.9,0.0,N/A,True
energy_window_avg,8.5,8.5,0.0,N/A,True
error_meter,10.2,10.2,0.0,N/A,True
estimate_reliability,3.4,3.4,0.0,N/A,True
estimate_supply,3.6,1.8,1.8,C2,True
estimate_temperature,3.6,1.8,1.8,C3,True
event_gate,10.4,10.4,0.0,N/A,True
feature_cache,9.6,9.6,0.0,N/A,True
feature_flag_rollout,4.3,4.3,0.0,N/A,True
fee_splitter,4.2,2.1,2.1,C4,True
file_chunk_stitch,8.2,8.2,0.0,C1,True
fuel_moving_mean,9.6,9.6,0.0,N/A,True
gain_trendline,3.3,1.7,1.7,C2,True
gpu_memory_pool,1.7,1.7,0.0,N/A,True
grades_union,3.3,1.6,1.6,C4,True
gradient_clip_budget,1.9,1.9,0.0,N/A,True
grant_share,10.2,10.2,0.0,C3,True
growth_trendline,3.6,1.8,1.8,C2,True
guard_email,10.0,2.0,8.0,C3,True
guard_search,8.6,8.6,0.0,N/A,True
guard_write,11.8,11.8,0.0,N/A,True
heartbeat_throttle,9.3,9.3,0.0,N/A,True
histogram_bucket_merge,17.5,12.7,4.8,C3,True
ids_merge,9.3,9.3,0.0,C1,True
inspection_booking,5.5,1.8,3.6,C2,True
invoice_merge_stream,9.1,7.6,1.5,C1,True
invoice_meter,1.9,1.9,0.0,N/A,True
job_queue_priority,3.8,3.8,0.0,N/A,True
kv_snapshot_reader,9.1,9.1,0.0,C1,True
latencies_merge,8.2,6.8,1.4,C1,True
latency_rolling_avg,5.4,5.4,0.0,N/A,True
ledger_balance_rollup,8.9,8.9,0.0,C1,True
limit_api,9.6,9.6,0.0,N/A,True
limit_job,8.5,8.5,0.0,C1,True
limit_message,9.3,9.3,0.0,C1,True
limit_ping,8.0,8.0,0.0,N/A,True
limit_query,9.3,9.3,0.0,N/A,True
limit_sensor,10.0,10.0,0.0,N/A,True
load_mix,3.8,1.9,1.9,C4,True
load_rolling_avg,8.9,8.9,0.0,N/A,True
log_sampling_decider,4.0,4.0,0.0,N/A,True
login_tally,8.8,8.8,0.0,N/A,True
login_throttle,5.5,5.5,0.0,C3,True
lr_warmup_schedule,7.1,7.1,0.0,N/A,True
lru_evictor,6.2,2.1,4.2,N/A,True
machine_booking,4.0,4.0,0.0,N/A,True
maintenance_booking,1.6,1.6,0.0,N/A,True
memory_moving_mean,5.3,5.3,0.0,N/A,True
message_counter,13.0,10.9,2.2,C1,True
metric_rolling_avg,5.4,5.4,0.0,N/A,True
model_confidence_clamp,3.3,1.6,1.6,C2,True
notification_gate,10.2,10.2,0.0,N/A,True
offer_expiry,10.0,10.0,0.0,N/A,True
optimizer_step_guard,9.8,2.0,7.8,C2,True
packets_window_avg,3.8,3.8,0.0,N/A,True
pages_union,9.4,7.8,1.6,C1,True
payment_payout,10.9,9.1,1.8,N/A,True
payment_split_rebate,6.1,2.0,4.1,C4,True
percentile_estimator,4.4,2.2,2.2,C3,True
plan_appointment_slot,9.6,9.6,0.0,N/A,True
plan_conference_slot,6.1,6.1,0.0,N/A,True
plan_delivery_slot,9.4,9.4,0.0,N/A,True
plan_desk_slot,6.2,6.2,0.0,C3,True
plan_jobs_share,1.8,1.8,0.0,N/A,True
plan_memo,10.0,10.0,0.0,C1,True
plan_points_share,14.3,14.3,0.0,N/A,True
plan_seats_share,1.5,1.5,0.0,N/A,True
plan_tickets_share,7.7,7.7,0.0,N/A,True
plan_upgrade_slot,2.0,2.0,0.0,N/A,True
prediction_cache,8.6,8.6,0.0,N/A,True
price_cache,11.1,11.1,0.0,C1,True
prices_stream,4.5,1.5,3.0,C2,True
priority_mix,2.2,2.2,0.0,N/A,True
probability_curve,1.6,1.6,0.0,C2,True
probability_rebalance,4.5,4.5,0.0,C3,True
profile_expiry,9.1,9.1,0.0,N/A,True
queue_window_avg,9.4,9.4,0.0,N/A,True
quota_allocator_service,8.9,8.9,0.0,N/A,True
quota_for_capacity,1.6,1.6,0.0,N/A,True
quota_for_fuel,3.7,1.9,1.9,C5,True
quota_for_inventory,1.9,1.9,0.0,N/A,True
quota_for_memory,1.7,1.7,0.0,N/A,True
quota_for_storage,9.4,9.4,0.0,N/A,True
quote_memo,10.9,10.9,0.0,N/A,True
rating_curve,9.1,9.1,0.0,C1,True
read_throttle,8.9,3.6,5.4,C4,True
realign_cache,13.0,2.2,10.9,C2,True
realign_power,11.4,11.4,0.0,C1,True
realign_replica,6.5,6.5,0.0,N/A,True
rebate_splitter,10.6,10.6,0.0,N/A,True
redis_like_expiry,3.2,3.2,0.0,N/A,True
rent_splitter,10.2,10.2,0.0,N/A,True
replica_sync_offsets,3.5,3.5,0.0,N/A,True
request_token_bucket,9.8,9.8,0.0,C1,True
reservation_booking,3.3,3.3,0.0,N/A,True
reservation_overlap_check,5.4,5.4,0.0,N/A,True
reserve_band,3.2,3.2,0.0,N/A,True
reserve_lane,7.3,7.3,0.0,N/A,True
reserve_slot,3.8,3.8,0.0,N/A,True
retry_backoff_window,6.0,2.0,4.0,C3,True
retry_tally,12.2,12.2,0.0,C1,True
revenue_share,3.8,3.8,0.0,N/A,True
rolling_errors,6.0,6.0,0.0,N/A,True
rolling_requests,7.1,3.6,3.6,C3,True
rolling_retries,9.8,9.8,0.0,N/A,True
rolling_usage,1.8,1.8,0.0,N/A,True
room_reservation,8.5,8.5,0.0,N/A,True
royalty_payout,9.6,9.6,0.0,N/A,True
sales_window_avg,3.6,3.6,0.0,N/A,True
schedule_call,8.2,1.6,6.6,C2,True
schedule_car,6.0,6.0,0.0,N/A,True
schedule_demo,10.7,10.7,0.0,N/A,True
schedule_pickup,3.8,3.8,0.0,N/A,True
schedule_shift_allocator,10.0,10.0,0.0,C1,True
schedule_training,6.7,6.7,0.0,N/A,True
schedule_window,1.7,1.7,0.0,N/A,True
scores_apportion,10.7,10.7,0.0,N/A,True
search_result_pager,9.1,9.1,0.0,C1,True
sensor_window_avg,5.1,1.7,3.4,C4,True
session_memo,8.8,8.8,0.0,N/A,True
shard_assignment,2.1,2.1,0.0,N/A,True
shares_apportion,1.8,1.8,0.0,C2,True
shift_demand,10.6,10.6,0.0,C1,True
shift_feature,4.4,2.2,2.2,C4,True
shift_risk,10.4,10.4,0.0,C1,True
shift_traffic,11.3,9.4,1.9,C1,True
shift_trust,13.0,2.2,10.9,C3,True
shift_weight,12.2,4.1,8.2,C3,True
signals_stream,10.7,8.9,1.8,C1,True
slots_apportion,9.3,9.3,0.0,N/A,True
smooth_clicks,2.1,2.1,0.0,N/A,True
smooth_cpu,3.6,1.8,1.8,C3,True
smooth_pressure,8.9,8.9,0.0,C1,True
smooth_throughput,8.0,8.0,0.0,N/A,True
speed_trendline,3.2,1.6,1.6,C2,True
storage_mix,10.6,2.1,8.5,C4,True
storage_quota_split,9.4,9.4,0.0,N/A,True
stream_joiner,8.8,8.8,0.0,C1,True
subsidy_payout,3.8,3.8,0.0,N/A,True
summary_memo,9.1,9.1,0.0,N/A,True
task_tally,2.3,2.3,0.0,N/A,True
task_throttle,2.1,2.1,0.0,C2,True
tasks_allocator,8.8,8.8,0.0,N/A,True
temperature_window_avg,5.4,5.4,0.0,N/A,True
tensor_slice_pad,4.1,4.1,0.0,N/A,True
throughput_trendline,4.0,2.0,2.0,C2,True
tiers_stream,4.0,4.0,0.0,N/A,True
time_range_filter,6.9,6.9,0.0,C3,True
timestamps_stream,16.4,1.6,14.8,C2,True
tip_share,10.6,10.6,0.0,C1,True
token_cache,8.9,8.9,0.0,N/A,True
token_expiry_check,10.4,10.4,0.0,N/A,True
track_api,1.9,1.9,0.0,N/A,True
track_build,11.9,11.9,0.0,N/A,True
track_delivery,9.6,9.6,0.0,N/A,True
track_deployment,9.6,9.6,0.0,N/A,True
track_logout,9.6,9.6,0.0,N/A,True
track_release,10.6,10.6,0.0,N/A,True
traffic_shaping_gate,8.9,8.9,0.0,N/A,True
ttl_snapshot_store,9.8,9.8,0.0,C1,True
txn_dedup_merge,11.3,8.1,3.2,C1,True
upload_gate,8.3,8.3,0.0,N/A,True
versions_stream,7.6,7.6,0.0,C1,True
view_tally,1.9,1.9,0.0,N/A,True
views_moving_mean,9.8,9.8,0.0,C1,True
volume_moving_mean,9.3,9.3,0.0,N/A,True
votes_apportion,20.0,20.0,0.0,N/A,True
warm_cache_loader,8.5,8.5,0.0,N/A,True
warning_meter,3.9,2.0,2.0,C2,True
water_allocator,24.0,20.0,4.0,C1,True
weights_union,11.3,8.1,3.2,C1,True
windowed_error_rate,9.4,9.4,0.0,C1,True
