function,n_constraints,n_violated_on_failing,n_over_approximate,n_pruned_by_cf,pct_violated
rating_curve,4,2,0,0,50.0
read_throttle,4,2,0,0,50.0
realign_cache,4,4,2,0,100.0
realign_power,3,2,1,0,66.7
realign_replica,3,2,0,0,66.7
rebate_splitter,4,3,1,0,75.0
redis_like_expiry,4,2,2,0,50.0
rent_splitter,3,3,1,0,100.0
replica_sync_offsets,3,1,0,0,33.3
request_token_bucket,4,1,0,0,25.0
reservation_booking,4,2,2,0,50.0
reservation_overlap_check,3,1,1,0,33.3
reserve_band,4,2,2,0,50.0
reserve_lane,4,2,2,0,50.0
reserve_slot,4,1,1,0,25.0
retry_backoff_window,4,2,0,0,50.0
retry_tally,3,1,0,0,33.3
revenue_share,4,2,0,0,50.0
rolling_errors,3,1,1,0,33.3
rolling_requests,4,2,0,0,50.0
rolling_retries,3,1,1,0,33.3
rolling_usage,4,0,0,0,0.0
room_reservation,4,2,2,0,50.0
royalty_payout,4,1,1,0,25.0
sales_window_avg,3,1,1,0,33.3
schedule_call,4,3,2,0,75.0
schedule_car,4,1,0,0,25.0
schedule_demo,3,2,2,0,66.7
schedule_pickup,4,1,0,0,25.0
schedule_shift_allocator,4,1,0,0,25.0
schedule_training,4,1,1,0,25.0
schedule_window,3,1,0,0,33.3
scores_apportion,4,2,2,0,50.0
search_result_pager,4,2,1,0,50.0
sensor_window_avg,3,1,1,0,33.3
session_memo,4,2,2,0,50.0
shard_assignment,3,0,0,0,0.0
shares_apportion,4,1,0,0,25.0
shift_demand,3,1,0,0,33.3
shift_feature,4,1,0,0,25.0
shift_risk,4,1,0,0,25.0
shift_traffic,3,2,0,0,66.7
shift_trust,4,3,2,0,75.0
shift_weight,3,3,2,0,100.0
signals_stream,3,2,0,0,66.7
slots_apportion,3,1,1,0,33.3
smooth_clicks,3,0,0,0,0.0
smooth_cpu,3,1,0,0,33.3
smooth_pressure,3,1,0,0,33.3
smooth_throughput,3,1,1,0,33.3
speed_trendline,3,2,0,0,66.7
storage_mix,4,3,2,0,75.0
storage_quota_split,3,1,0,0,33.3
stream_joiner,4,2,0,0,50.0
subsidy_payout,3,2,0,0,66.7
summary_memo,3,2,2,0,66.7
task_tally,4,0,0,0,0.0
task_throttle,4,1,0,0,25.0
tasks_allocator,3,1,0,0,33.3
temperature_window_avg,3,1,1,0,33.3
tensor_slice_pad,4,1,0,0,25.0
throughput_trendline,3,2,0,0,66.7
tiers_stream,4,1,0,0,25.0
time_range_filter,4,1,0,0,25.0
timestamps_stream,4,4,0,0,100.0
tip_share,3,2,0,0,66.7
token_cache,3,1,1,0,33.3
token_expiry_check,4,1,1,0,25.0
track_api,4,0,0,0,0.0
track_build,4,1,1,0,25.0
track_delivery,3,1,1,0,33.3
track_deployment,4,1,1,0,25.0
track_logout,3,2,2,0,66.7
track_release,3,1,1,0,33.3
traffic_shaping_gate,3,1,1,0,33.3
ttl_snapshot_store,3,1,0,0,33.3
txn_dedup_merge,4,3,0,0,75.0
upload_gate,4,1,1,0,25.0
versions_stream,4,1,0,0,25.0
view_tally,4,0,0,0,0.0
views_moving_mean,3,2,0,0,66.7
volume_moving_mean,3,1,1,0,33.3
votes_apportion,3,1,1,0,33.3
warm_cache_loader,4,1,1,0,25.0
warning_meter,3,1,0,0,33.3
water_allocator,4,2,1,0,50.0
weights_union,3,2,0,0,66.7
windowed_error_rate,3,2,1,0,66.7
